Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
960,13.200,3001.589,3000.911,3001.357,3001.597,3001.819,3001.892,3002.263,3002.664,3002.664,0.000
965,24.000,3001.677,3000.937,3001.328,3001.653,3001.980,3002.267,3002.396,3002.637,3002.828,0.000
970,17.200,3001.637,3001.128,3001.451,3001.623,3001.830,3001.959,3002.014,3002.120,3002.120,0.000
975,18.800,3001.685,3001.004,3001.420,3001.635,3001.942,3002.128,3002.217,3002.578,3002.578,0.000
980,24.000,3001.695,3000.774,3001.620,3001.727,3001.859,3001.996,3002.184,3002.298,3002.427,0.000
985,17.200,3001.627,3001.105,3001.437,3001.624,3001.831,3001.940,3002.005,3002.326,3002.326,0.000
990,18.800,3001.775,3001.195,3001.619,3001.748,3001.924,3002.228,3002.298,3002.394,3002.394,0.000
995,24.000,3001.601,3000.819,3001.466,3001.611,3001.798,3002.003,3002.187,3002.348,3002.423,0.000
1000,17.200,3001.739,3000.982,3001.505,3001.740,3001.991,3002.208,3002.273,3002.558,3002.558,0.000
1005,18.800,3001.712,3000.824,3001.577,3001.736,3001.900,3002.017,3002.160,3002.303,3002.303,0.000
1010,24.000,3001.714,3000.786,3001.537,3001.748,3001.937,3002.110,3002.237,3002.460,3002.918,0.000
1015,15.000,3001.704,3000.832,3001.576,3001.760,3001.907,3002.123,3002.232,3002.363,3002.363,0.000
1020,21.000,3001.645,3000.819,3001.489,3001.666,3001.812,3001.893,3002.006,3002.448,3002.988,0.000
1025,24.000,3001.605,3001.078,3001.442,3001.612,3001.763,3001.896,3001.979,3002.148,3002.264,0.000
1030,14.200,3001.750,3001.249,3001.644,3001.788,3001.889,3002.011,3002.199,3002.350,3002.350,0.000
1035,21.800,3001.591,3001.038,3001.449,3001.564,3001.773,3001.883,3001.925,3002.008,3002.100,0.000
1040,24.000,3001.623,3000.991,3001.392,3001.617,3001.839,3002.006,3002.078,3002.412,3002.498,0.000
1045,12.000,3001.718,3001.044,3001.467,3001.583,3001.914,3002.386,3002.489,3002.819,3002.819,0.000
1050,24.000,3001.660,3000.931,3001.453,3001.694,3001.882,3002.008,3002.076,3002.266,3002.340,0.000
1055,24.000,3001.618,3001.067,3001.439,3001.632,3001.790,3001.889,3002.040,3002.298,3002.498,0.000
1060,12.000,3001.669,3001.225,3001.521,3001.685,3001.840,3001.934,3002.055,3002.408,3002.408,0.000
